,Language,Project Name,Github URL,Github Stars,Language %,Last Commit Hash
0,go,kubernetes,https://github.com/kubernetes/kubernetes,75420,96.7,b0abe89ae25
1,go,moby,https://github.com/moby/moby,59854,96.8,dd14dbd53d
2,go,hugo,https://github.com/gohugoio/hugo,50738,99.1,7b4ade56
3,go,gin,https://github.com/gin-gonic/gin,46554,99.6,bfc8ca2
4,go,frp,https://github.com/fatedier/frp,43950,98.2,fbaa5f8
5,go,v2ray-core,https://github.com/v2ray/v2ray-core,36765,97.5,5dffca84
6,go,gogs,https://github.com/gogs/gogs,36624,90.6,509a3922
7,go,prometheus,https://github.com/prometheus/prometheus,35860,89.2,431ea75a1
8,go,etcd,https://github.com/etcd-io/etcd,35225,96.3,dfb03aba0
9,go,traefik,https://github.com/traefik/traefik,33101,91.1,cb4fb973
10,js,vue,https://github.com/vuejs/vue,180846,97.7,6ec33f70
11,js,react,https://github.com/facebook/react,165487,95.3,d77851899
12,js,angular.js,https://github.com/angular/angular.js,59588,98.1,02545a8ba
13,js,create-react-app,https://github.com/facebook/create-react-app,86724,98.3,2d1829ea
14,js,three.js,https://github.com/mrdoob/three.js,68495,99.2,9bf1555683
15,js,jquery,https://github.com/jquery/jquery,54653,93.9,a684e6ba
16,js,atom,https://github.com/atom/atom,54622,88.1,10f7d454e
17,js,Chart.js,https://github.com/chartjs/Chart.js,52546,99.2,ac0a86b9
18,js,express,https://github.com/expressjs/express,52617,100.0,50893685
19,js,lodash,https://github.com/lodash/lodash,48634,100.0,2f79053d7
20,kotlin,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,31277,96.5,1437b43d
21,kotlin,leakcanary,https://github.com/square/leakcanary,25938,100.0,e0057cf5
22,kotlin,iosched,https://github.com/google/iosched,20349,96.8,b428d2be4
23,kotlin,material-dialogs,https://github.com/afollestad/material-dialogs,18670,100.0,709cfee9
24,kotlin,MaterialDrawer,https://github.com/mikepenz/MaterialDrawer,11335,99.0,78357c4f
25,kotlin,tachiyomi,https://github.com/tachiyomiorg/tachiyomi,10597,100.0,b2d69713
26,kotlin,recyclerview-animators,https://github.com/wasabeef/recyclerview-animators,10560,99.6,6c5c774
27,kotlin,AppIntro,https://github.com/AppIntro/AppIntro,9714,98.4,85350b2
28,kotlin,kotlinx.coroutines,https://github.com/Kotlin/kotlinx.coroutines,9107,98.6,5eca49cf
29,kotlin,ktor,https://github.com/ktorio/ktor,8130,100.0,429ed3c97
30,python,youtube-dl,https://github.com/ytdl-org/youtube-dl,91743,99.6,70d0d4f9b
31,python,scrapy,https://github.com/scrapy/scrapy,40268,99.7,5a75b14a
32,python,django,https://github.com/django/django,56312,97.0,da542ccab6
33,python,flask,https://github.com/pallets/flask,54241,99.9,85b8fab2
34,python,keras,https://github.com/keras-team/keras,50892,97.6,68d25714
35,python,httpie,https://github.com/httpie/httpie,50208,95.9,fc45bf0
36,python,ansible,https://github.com/ansible/ansible,47278,88.1,05662fd2ab
37,python,scikit-learn,https://github.com/scikit-learn/scikit-learn,44924,97.7,877c6e6db
38,python,requests,https://github.com/psf/requests,44822,99.7,2c2138e8
39,python,transformers,https://github.com/huggingface/transformers,42631,93.9,76800fb8e
40,ruby,rails,https://github.com/rails/rails,47813,95.4,0ff395e1b1
41,ruby,huginn,https://github.com/huginn/huginn,31084,88.8,4d17829c
42,ruby,brew,https://github.com/Homebrew/brew,27240,93.5,b122288f5
43,ruby,metasploit-framework,https://github.com/rapid7/metasploit-framework,23458,94.6,4239c33143
44,ruby,vagrant,https://github.com/hashicorp/vagrant,21660,95.9,9c45f7d25
45,ruby,devise,https://github.com/heartcombo/devise,21512,97.2,5d5636f0
46,ruby,sinatra,https://github.com/sinatra/sinatra,11271,99.4,cf404526
47,ruby,CocoaPods,https://github.com/CocoaPods/CocoaPods,13089,100.0,123f2d02f
48,ruby,capistrano,https://github.com/capistrano/capistrano,11782,95.6,f5a16779
49,ruby,rubocop,https://github.com/rubocop/rubocop,11344,99.9,02419b84a
50,scala,finagle,https://github.com/twitter/finagle,7905,94.7,2f0a88956
51,scala,bfg-repo-cleaner,https://github.com/rtyley/bfg-repo-cleaner,7398,99.9,e7cdc46
52,scala,scalaz,https://github.com/scalaz/scalaz,4444,98.5,3e96b0758
53,scala,dotty,https://github.com/lampepfl/dotty,4380,97.1,86b4d627af
54,scala,sbt,https://github.com/sbt/sbt,4294,96.4,59130d470
55,scala,scala-js,https://github.com/scala-js/scala-js,4131,99.9,8a0655b2d
56,scala,marathon,https://github.com/mesosphere/marathon,3995,88.8,9ee9f3ceb
57,scala,scala-native,https://github.com/scala-native/scala-native,3961,88.5,cc66e7ba
58,scala,BigDL,https://github.com/intel-analytics/BigDL,3708,89.2,352ce4a5
59,scala,breeze,https://github.com/scalanlp/breeze,3226,99.8,06b23cfa
