#,Project Name,Github URL,Github Stars,Project Type,Language %
1,vue,https://github.com/vuejs/vue,180846,"Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.",97.7
2,react,https://github.com/facebook/react,165487,"A declarative, efficient, and flexible JavaScript library for building user interfaces.",95.3
3,angular.js,https://github.com/angular/angular.js,59588,,98.1
4,create-react-app,https://github.com/facebook/create-react-app,86724,Set up a modern web app by running one command.,98.3
5,three.js,https://github.com/mrdoob/three.js,68495,JavaScript 3D library.,99.2
6,jquery,https://github.com/jquery/jquery,54653,jQuery JavaScript Library,93.9
7,atom,https://github.com/atom/atom,54622,The hackable text editor,88.1
8,Chart.js,https://github.com/chartjs/Chart.js,52546,Simple HTML5 Charts using the <canvas> tag,99.2
9,express,https://github.com/expressjs/express,52617,,100
10,lodash,https://github.com/lodash/lodash,48634,"A modern JavaScript utility library delivering modularity, performance, & extras.",100
