#,Project Name,Github URL,Github Stars,Project Type,Language %,Commit Id
1,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,31277,,96.5,
2,leakcanary,https://github.com/square/leakcanary,25938,,100,
3,iosched,https://github.com/google/iosched,20349,,96.8,
4,material-dialogs,https://github.com/afollestad/material-dialogs,18670,,100,
5,MaterialDrawer,https://github.com/mikepenz/MaterialDrawer,11335,,99,
6,tachiyomi,https://github.com/tachiyomiorg/tachiyomi,10597,,100,
7,recyclerview-animators,https://github.com/wasabeef/recyclerview-animators,10560,,99.6,
8,AppIntro,https://github.com/AppIntro/AppIntro,9714,,98.4,
9,kotlinx.coroutines,https://github.com/Kotlin/kotlinx.coroutines,9107,,98.6,
10,ktor,https://github.com/ktorio/ktor,8130,,100,
