#,Project Name,Github URL,Github Stars,Project Type,Language %
1,youtube-dl,https://github.com/ytdl-org/youtube-dl,91743,Command-line program to download videos from YouTube.com and other video sites,99.6
2,scrapy,https://github.com/scrapy/scrapy,40268,,99.7
3,django,https://github.com/django/django,56312,The Web framework for perfectionists with deadlines.,97
4,flask,https://github.com/pallets/flask,54241,The Python micro framework for building web applications.,99.9
5,keras,https://github.com/keras-team/keras,50892,Deep Learning for humans,97.6
6,httpie,https://github.com/httpie/httpie,50208,"As easy as /aitch-tee-tee-pie/ 🥧 Modern, user-friendly command-line HTTP client for the API era. JSON support, colors, sessions, downloads, plugins & more.",95.9
7,ansible,https://github.com/ansible/ansible,47278,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.",88.1
8,scikit-learn,https://github.com/scikit-learn/scikit-learn,44924,scikit-learn: machine learning in Python,97.7
9,requests,https://github.com/psf/requests,44822,"A simple, yet elegant HTTP library.",99.7
10,transformers,https://github.com/huggingface/transformers,42631,🤗Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,93.9
