,Language,Project,Number of Lines of Code,Technical Debt Ratio,Technical Debt,Date,Size Normalized Technical Debt
0,kotlin,ktor,741,1.0,230,2014-09-16,0.31039136302294196
1,kotlin,ktor,1554,0.2,110,2015-05-22,0.07078507078507079
2,kotlin,ktor,1908,0.2,136,2015-08-02,0.07127882599580712
3,kotlin,ktor,3421,0.3,296,2015-11-03,0.08652440806781643
4,kotlin,ktor,9114,0.3,900,2016-02-01,0.09874917709019092
5,kotlin,ktor,10268,0.3,912,2016-05-05,0.08881963381379042
6,kotlin,ktor,13881,0.2,1009,2016-08-08,0.07268928751530869
7,kotlin,ktor,14188,0.2,826,2016-11-01,0.0582182125740062
8,kotlin,ktor,13307,0.2,805,2017-02-01,0.060494476591267755
9,kotlin,ktor,14056,0.2,803,2017-05-03,0.057128628343767786
10,kotlin,ktor,15422,0.2,956,2017-08-02,0.06198936584100635
11,kotlin,ktor,21305,0.2,1313,2017-11-07,0.06162872565125557
12,kotlin,ktor,22809,0.2,1459,2018-02-01,0.06396597834188258
13,kotlin,ktor,27081,0.2,1683,2018-05-03,0.062146892655367235
14,kotlin,ktor,26497,0.2,1679,2018-08-01,0.06336566403743821
15,kotlin,ktor,34790,0.2,1715,2018-11-01,0.04929577464788732
16,kotlin,ktor,39842,0.2,2110,2019-02-01,0.052959188795743184
17,kotlin,ktor,42329,0.2,2158,2019-05-01,0.05098159654137825
18,kotlin,ktor,43700,0.2,2200,2019-08-01,0.05034324942791762
19,kotlin,ktor,66370,0.2,4514,2019-11-01,0.0680126563206268
20,kotlin,ktor,69526,0.2,4655,2020-02-01,0.06695336996231625
21,kotlin,ktor,70949,0.2,4687,2020-05-06,0.06606153716049556
22,kotlin,ktor,70984,0.2,4715,2020-08-07,0.06642341936210977
23,kotlin,ktor,75786,0.2,5166,2020-11-02,0.06816562425777849
24,kotlin,ktor,79834,0.2,5235,2021-02-01,0.06557356514768144
0,js,express,309,8.8,820,2009-06-26,2.6537216828478964
1,js,express,660,10.3,2035,2009-11-19,3.0833333333333335
2,js,express,2931,9.5,8324,2010-02-01,2.839986352780621
3,js,express,3085,9.7,8951,2010-05-01,2.9014586709886547
4,js,express,424,7.8,990,2010-08-02,2.3349056603773586
5,js,express,644,8.9,1716,2010-11-05,2.6645962732919255
6,js,express,780,8.5,1990,2011-02-01,2.551282051282051
7,js,express,1186,7.9,2795,2011-05-01,2.3566610455311974
8,js,express,1168,8.0,2788,2011-08-02,2.386986301369863
9,js,express,992,8.9,2643,2011-11-04,2.6643145161290325
10,js,express,1053,8.8,2777,2012-02-06,2.6372269705603038
11,js,express,1044,8.5,2648,2012-05-01,2.5363984674329503
12,js,express,1071,9.1,2915,2012-08-01,2.7217553688141924
13,js,express,1082,9.1,2957,2012-11-01,2.732902033271719
14,js,express,1100,8.6,2845,2013-02-07,2.5863636363636364
15,js,express,1131,8.5,2889,2013-05-01,2.5543766578249336
16,js,express,1129,8.6,2916,2013-08-01,2.58281665190434
17,js,express,1163,8.5,2953,2013-11-02,2.539122957867584
18,js,express,1182,8.6,3052,2014-02-04,2.5820642978003385
19,js,express,1219,8.6,3155,2014-05-02,2.588187038556194
20,js,express,1614,8.6,4157,2014-08-02,2.5755885997521686
21,js,express,1631,8.6,4201,2014-11-01,2.5757204169221337
22,js,express,1664,8.9,4449,2015-02-01,2.6736778846153846
23,js,express,1680,8.9,4465,2015-05-01,2.6577380952380953
24,js,express,1740,8.8,4595,2015-08-03,2.6408045977011496
25,js,express,1740,8.9,4645,2015-12-03,2.6695402298850577
26,js,express,1740,8.9,4645,2016-05-05,2.6695402298850577
27,js,express,1744,8.8,4629,2016-08-23,2.654243119266055
28,js,express,1744,8.8,4629,2017-01-18,2.654243119266055
29,js,express,1817,9.0,4893,2017-04-05,2.6929003852504128
30,js,express,1800,9.0,4853,2017-07-20,2.696111111111111
31,js,express,1818,9.0,4910,2017-10-01,2.7007700770077006
32,js,express,1821,9.0,4928,2018-01-02,2.7062053816584295
33,js,express,1822,9.1,4956,2018-04-10,2.7200878155872665
34,js,express,1821,9.0,4928,2018-07-31,2.7062053816584295
35,js,express,1822,9.1,4956,2018-10-10,2.7200878155872665
36,js,express,1830,9.0,4964,2019-01-17,2.712568306010929
37,js,express,1830,9.0,4964,2019-05-01,2.712568306010929
38,js,express,1829,9.0,4965,2019-12-12,2.714598141060689
39,js,express,1829,9.0,4965,2020-03-17,2.714598141060689
40,js,express,1829,9.0,4965,2020-07-16,2.714598141060689
0,scala,dotty,1874,1.6,912,2012-12-06,0.48665955176093917
1,scala,dotty,10960,1.5,5033,2013-03-01,0.4592153284671533
2,scala,dotty,17341,1.6,8293,2013-06-03,0.4782307825384926
3,scala,dotty,20820,1.7,10903,2013-09-05,0.5236791546589817
4,scala,dotty,22137,1.8,11701,2013-12-01,0.5285720739034196
5,scala,dotty,24103,1.7,12526,2014-03-01,0.5196863460979961
6,scala,dotty,28329,1.7,14843,2014-06-12,0.5239507218751103
7,scala,dotty,31295,1.8,16437,2014-09-01,0.525227672152101
8,scala,dotty,37055,1.7,19404,2014-12-01,0.5236540277965187
9,scala,dotty,40108,1.8,21494,2015-03-01,0.53590306173332
10,scala,dotty,42711,1.8,22744,2015-06-01,0.5325091896701084
11,scala,dotty,43538,1.8,23249,2015-09-01,0.5339932932151225
12,scala,dotty,44767,1.8,24487,2015-12-01,0.5469877365023343
13,scala,dotty,48115,1.8,26103,2016-03-01,0.542512729917905
14,scala,dotty,57324,1.8,30572,2016-06-01,0.5333193775730933
15,scala,dotty,58802,1.8,31467,2016-09-01,0.5351348593585252
16,scala,dotty,60544,1.8,32425,2016-12-01,0.5355609143763214
17,scala,dotty,66981,1.8,35610,2017-03-01,0.5316433018318628
18,scala,dotty,67960,1.8,35720,2017-06-01,0.5256032960565038
19,scala,dotty,69784,1.8,36837,2017-09-01,0.527871718445489
20,scala,dotty,70575,1.8,37302,2017-12-01,0.5285441020191286
21,scala,dotty,73270,1.8,39706,2018-03-01,0.5419134707247169
22,scala,dotty,76072,1.9,42811,2018-06-01,0.5627694815438006
23,scala,dotty,76396,1.9,43370,2018-09-02,0.5676998795748468
24,scala,dotty,82651,1.9,47777,2018-12-01,0.5780571317951386
25,scala,dotty,93522,2.0,55708,2019-03-01,0.5956673296122837
